geometry,ident,type,name,latitude_d,longitude,elevation,continent,iso_countr,iso_region,municipali,scheduled,gps_code,iata_code,status,objectid
POINT (102.9291667 25.1019444),ZPPP,large_airport,Kunming Changshui International Airport,25.1019444,102.9291667,6903,Asia,CN,CN-53,Kunming,yes,ZPPP,KMG,Restrictions,756
POINT (118.1279984 24.54400063),ZSAM,large_airport,Xiamen Gaoqi International Airport,24.54400063,118.1279984,59,Asia,CN,CN-35,Xiamen,yes,ZSAM,XMN,Restrictions,757
POINT (115.9000015 28.86499977),ZSCN,medium_airport,Nanchang Changbei International Airport,28.86499977,115.9000015,143,Asia,CN,CN-36,Nanchang,yes,ZSCN,KHN,Restrictions,758
POINT (119.663002 25.93510056),ZSFZ,large_airport,Fuzhou Changle International Airport,25.93510056,119.663002,46,Asia,CN,CN-35,Fuzhou,yes,ZSFZ,FOC,Restrictions,759
POINT (120.4339981 30.22949982),ZSHC,large_airport,Hangzhou Xiaoshan International Airport,30.22949982,120.4339981,23,Asia,CN,CN-33,Hangzhou,yes,ZSHC,HGH,Restrictions,760
POINT (117.2160034 36.85720062),ZSJN,large_airport,Yaoqiang Airport,36.85720062,117.2160034,76,Asia,CN,CN-37,Jinan,yes,ZSJN,TNA,Restrictions,761
POINT (121.461998 29.82670021),ZSNB,large_airport,Ningbo Lishe International Airport,29.82670021,121.461998,13,Asia,CN,CN-33,Ningbo,yes,ZSNB,NGB,Restrictions,762
POINT (118.8619995 31.74200058),ZSNJ,large_airport,Nanjing Lukou Airport,31.74200058,118.8619995,49,Asia,CN,CN-32,Nanjing,yes,ZSNJ,NKG,Restrictions,763
POINT (78.18029785 30.18969917),VIDN,medium_airport,Dehradun Airport,30.18969917,78.18029785,1831,Asia,IN,IN-UP,Dehradun,yes,VIDN,DED,Restrictions,764
POINT (77.103104 28.5665),VIDP,large_airport,Indira Gandhi International Airport,28.5665,77.103104,777,Asia,IN,IN-DL,New Delhi,yes,VIDP,DEL,Restrictions,765
POINT (134.0160065 34.21419907),RJOT,medium_airport,Takamatsu Airport,34.21419907,134.0160065,607,Asia,JP,JP-37,Takamatsu,yes,RJOT,TAK,,766
POINT (31.54459953 -24.81809998),FAMD,medium_airport,Malamala Airport,-24.81809998,31.54459953,1124,Africa,ZA,ZA-NP,Malamala,yes,FAMD,AAM,,767
POINT (78.22779846 26.29330063),VIGR,medium_airport,Gwalior Airport,26.29330063,78.22779846,617,Asia,IN,IN-MP,Gwalior,yes,VIGR,GWL,Restrictions,768
POINT (131.7899933 34.67639923),RJOW,medium_airport,Iwami Airport,34.67639923,131.7899933,184,Asia,JP,JP-32,Masuda,yes,RJOW,IWJ,,769
POINT (140.6909943 40.73469925),RJSA,medium_airport,Aomori Airport,40.73469925,140.6909943,664,Asia,JP,JP-02,Aomori,yes,RJSA,AOJ,,770
POINT (140.3710022 38.41189957),RJSC,medium_airport,Yamagata Airport,38.41189957,140.3710022,353,Asia,JP,JP-06,Yamagata,yes,RJSC,GAJ,,771
POINT (138.4140015 38.06019974),RJSD,medium_airport,Sado Airport,38.06019974,138.4140015,88,Asia,JP,JP-15,Sado,yes,RJSD,SDS,,772
POINT (140.4309998 37.22740173),RJSF,medium_airport,Fukushima Airport,37.22740173,140.4309998,1221,Asia,JP,JP-07,Sukagawa,yes,RJSF,FKS,,773
POINT (141.1349945 39.42860031),RJSI,medium_airport,Hanamaki Airport,39.42860031,141.1349945,297,Asia,JP,JP-03,,yes,RJSI,HNA,,774
POINT (140.2189941 39.61560059),RJSK,medium_airport,Akita Airport,39.61560059,140.2189941,313,Asia,JP,JP-05,Akita,yes,RJSK,AXT,,775
POINT (141.3679962 40.70320129),RJSM,medium_airport,Misawa Air Base,40.70320129,141.3679962,119,Asia,JP,JP-02,Misawa,yes,RJSM,MSJ,,776
POINT (139.1210022 37.95589828),RJSN,medium_airport,Niigata Airport,37.95589828,139.1210022,29,Asia,JP,JP-15,Niigata,yes,RJSN,KIJ,,777
POINT (140.3710022 40.19189835),RJSR,medium_airport,Odate Noshiro Airport,40.19189835,140.3710022,292,Asia,JP,JP-05,Odate,yes,RJSR,ONJ,,778
POINT (140.9170074 38.13970184),RJSS,medium_airport,Sendai Airport,38.13970184,140.9170074,15,Asia,JP,JP-04,Sendai,yes,RJSS,SDJ,,779
POINT (139.7870026 38.81219864),RJSY,medium_airport,Shonai Airport,38.81219864,139.7870026,86,Asia,JP,JP-06,Shonai,yes,RJSY,SYO,,780
POINT (139.7859955 33.11500168),RJTH,medium_airport,Hachijojima Airport,33.11500168,139.7859955,303,Asia,JP,JP-13,Hachijojima,yes,RJTH,HAC,,781
POINT (139.3600006 34.7820015),RJTO,medium_airport,Oshima Airport,34.7820015,139.3600006,130,Asia,JP,JP-13,Izu Oshima,yes,RJTO,OIM,,782
POINT (139.5599976 34.07360077),RJTQ,medium_airport,Miyakejima Airport,34.07360077,139.5599976,67,Asia,JP,JP-13,Miyakejima,yes,RJTQ,MYE,,783
POINT (139.779999 35.552299),RJTT,large_airport,Tokyo Haneda International Airport,35.552299,139.779999,35,Asia,JP,JP-13,Tokyo,yes,RJTT,HND,Restrictions,784
POINT (127.6460037 26.19580078),ROAH,large_airport,Naha Airport,26.19580078,127.6460037,12,Asia,JP,JP-47,Naha,yes,ROAH,OKA,,785
POINT (124.1869965 24.34449959),ROIG,medium_airport,Ishigaki Airport,24.34449959,124.1869965,93,Asia,JP,JP-47,Ishigaki,yes,ROIG,ISG,,786
POINT (126.7139969 26.3635006),ROKJ,medium_airport,Kumejima Airport,26.3635006,126.7139969,23,Asia,JP,JP-47,,yes,ROKJ,UEO,,787
POINT (131.2630005 25.8465004),ROMD,medium_airport,Minami-Daito Airport,25.8465004,131.2630005,167,Asia,JP,JP-47,Minamidait?,yes,ROMD,MMD,,788
POINT (125.2949982 24.78280067),ROMY,medium_airport,Miyako Airport,24.78280067,125.2949982,150,Asia,JP,JP-47,Miyako City,yes,ROMY,MMY,,789
POINT (131.3269959 25.94470024),RORK,medium_airport,Kitadaito Airport,25.94470024,131.3269959,80,Asia,JP,JP-47,Kitadait?jima,yes,RORK,KTD,,790
POINT (124.6750031 24.65390015),RORT,medium_airport,Tarama Airport,24.65390015,124.6750031,36,Asia,JP,JP-47,Tarama,yes,RORT,TRA,,791
